GGAP,TFP
0.18,0.026539518
0.88,0.031075844
1.16,0.00913398
0.76,0.004732509
0.76,0.024412933
0.78,0.016381361
1.04,-0.000433231
1.26,0.032244314
1.08,0.004602653
1.18,0.019093808
0.66,0.004547964
1.66,0.026973837
-0.1,0.00350947
0.08,0.001607535
-0.1,0.012361592
-0.22,0.022936841
0.2,0.005068494
-0.4,-0.000946708
-0.12,0.010818225
-0.22,0.000508805
0.08,0.006496863
-0.02,0.021149076
-0.2,0.005672727
-0.02,0.006192194
-0.7,-0.007824683
-0.02,0.030803921
-1.32,-0.033719832
-0.02,0.022636594
2.26,0.019178078
1.76,-0.006218117
1.98,-0.011928884
0,0.16789976
0.3,0.005759077
0.26,0.009161248
0.36,0.001987315
0.46,0.012947014
0.46,0.021003554
0.12,0.027612502
0.36,0.002813974
0.16,0.00127749
0.36,-0.008184609
0.26,0.010894631
0.32,-0.002785335
0.36,0.005983304
0.16,0.024167246
0.86,0.034204472
1.12,0.011688267
0.72,0.007075881
0.72,0.032959785
0.76,0.013196289
0.98,0.002881557
1.22,0.032464609
1.06,0.00795142
1.16,0.018012862
0.62,0.006011692
1.62,0.017057956
-0.1,0.002353799
0.06,-0.002491631
-0.1,0.009294825
-0.24,0.047564455
0.2,0.008128571
-0.4,0.007724618
-0.14,0.015825919
-0.24,-0.003110972
0.06,0.001569163
-0.04,0.018375891
-0.2,0.008585908
-0.04,0.005275485
-0.7,0.002428288
-0.04,0.008039601
-1.44,-0.047603503
-0.04,0.018878396
2.22,0.024388636
1.72,-0.006315461
1.86,-0.014106143
0,-0.595358408
0.3,0.002364323
0.24,0.001714402
0.34,-0.000111955
0.44,0.003010773
0.44,0.017754685
0.08,0.023872478
0.34,-0.004884325
0.14,0.000675361
0.34,-0.008008731
0.24,0.001663425
0.28,-0.004352738
0.34,0.000236055
0.14,0.011567948
0.84,0.033477749
1.08,0.011435342
0.68,0.006946678
0.68,0.031957721
0.74,0.012838487
0.92,-0.006354031
1.18,0.016841173
1.04,0.011131794
1.14,0.020631435
0.58,0.006353136
1.58,0.003258012
-0.1,-0.002270487
0.04,-0.004334858
-0.1,0.004159636
-0.26,0.033906739
0.2,0.006036547
-0.4,0.012497306
-0.16,0.010822775
-0.26,-0.012742004
0.04,-0.007537937
-0.06,0.011598015
-0.2,0.004321228
-0.06,0.000424617
-0.7,-0.004473194
-0.06,0.012202917
-1.56,-0.035426453
-0.06,0.00973241
2.18,0.014442091
1.68,-0.005549895
1.74,-0.029177717
0,1.328697345
,-0.658463689
0.3,-0.006199714
0.22,-0.006107297
0.32,-0.006388632
0.42,-0.009154773
0.42,-0.000321299
0.04,0.012958498
0.32,0.004507552
0.12,-0.006972412
0.32,-0.015860126
0.22,-0.005162627
0.24,-0.006111661
0.32,-0.011437736
0.12,0.000507193
0.82,0.031088305
1.04,0.003330852
0.64,-0.002750368
0.64,0.017327014
0.72,0.010331788
0.86,-0.004420279
1.14,-0.004072853
1.02,0.005422303
1.12,0.016993155
0.54,-0.002158716
1.54,-0.020088333
-0.1,-0.001200701
0.02,-0.007730712
-0.1,0.000774604
-0.28,0.01119147
0.2,-0.00148209
-0.4,0.005544998
-0.18,-0.007283108
-0.28,-0.019940575
0.02,-0.01588797
-0.08,0.00770516
-0.2,-0.002061034
-0.08,-0.009290959
-0.7,-0.007730127
-0.08,0.010709816
-1.68,-0.053900525
-0.08,-0.002523979
2.14,0.01474437
1.64,-0.006009289
1.62,-0.047708039
,-0.081942004
0.3,-0.000794359
0.2,-0.006434444
0.3,-0.00526866
0.4,-0.009841734
0.4,-0.006770355
0,0.004749656
0.3,0.003593806
0.1,-0.004496142
0.3,-0.011935821
0.2,-0.00475641
0.2,-0.004681216
0.3,-0.012871272
0.1,0.007304946
0.8,0.032220156
1,0.002184478
0.6,0.000795684
